央视卫视,#genre#
CCTV1,http://43.251.226.110:8880/play/1.m3u8
CCTV1,http://43.251.226.110:8880/play/2.m3u8
CCTV2,http://43.251.226.110:8880/play/3.m3u8
CCTV2,http://43.251.226.110:8880/play/4.m3u8
CCTV3,http://43.251.226.110:8880/play/5.m3u8
CCTV3,http://43.251.226.110:8880/play/6.m3u8
CCTV4,http://43.251.226.110:8880/play/7.m3u8
CCTV4,http://43.251.226.110:8880/play/8.m3u8
CCTV5,http://43.251.226.110:8880/play/9.m3u8
CCTV5+,http://43.251.226.110:8880/play/10.m3u8
CCTV6,http://43.251.226.110:8880/play/11.m3u8
CCTV6,http://43.251.226.110:8880/play/12.m3u8
CCTV7,http://43.251.226.110:8880/play/13.m3u8
CCTV7,http://43.251.226.110:8880/play/14.m3u8
CCTV8,http://43.251.226.110:8880/play/15.m3u8
CCTV8,http://43.251.226.110:8880/play/16.m3u8
CCTV9,http://43.251.226.110:8880/play/17.m3u8
CCTV9,http://43.251.226.110:8880/play/18.m3u8
CCTV10,http://43.251.226.110:8880/play/19.m3u8
CCTV10,http://43.251.226.110:8880/play/20.m3u8
CCTV11,http://43.251.226.110:8880/play/21.m3u8
CCTV12,http://43.251.226.110:8880/play/22.m3u8
CCTV13,http://43.251.226.110:8880/play/23.m3u8
CCTV14,http://43.251.226.110:8880/play/24.m3u8
CCTV14,http://43.251.226.110:8880/play/25.m3u8
CCTV15,http://43.251.226.110:8880/play/26.m3u8
CCTV15,http://43.251.226.110:8880/play/27.m3u8
CCTV16,http://43.251.226.110:8880/play/28.m3u8
CCTV16,http://43.251.226.110:8880/play/29.m3u8
CCTV17,http://43.251.226.110:8880/play/30.m3u8
CCTV17,http://43.251.226.110:8880/play/31.m3u8
CGTN英语,http://43.251.226.110:8880/play/32.m3u8
CGTN记录,http://43.251.226.110:8880/play/33.m3u8
CGTN俄语,http://43.251.226.110:8880/play/34.m3u8
CGTN法语,http://43.251.226.110:8880/play/35.m3u8
三沙卫视,http://43.251.226.110:8880/play/36.m3u8
东南卫视,http://43.251.226.110:8880/play/37.m3u8
东南卫视,http://43.251.226.110:8880/play/38.m3u8
东方卫视,http://43.251.226.110:8880/play/39.m3u8
东方卫视,http://43.251.226.110:8880/play/40.m3u8
云南卫视,http://43.251.226.110:8880/play/41.m3u8
北京卫视,http://43.251.226.110:8880/play/42.m3u8
吉林卫视,http://43.251.226.110:8880/play/43.m3u8
四川卫视,http://43.251.226.110:8880/play/44.m3u8
天津卫视,http://43.251.226.110:8880/play/45.m3u8
天津卫视,http://43.251.226.110:8880/play/46.m3u8
安徽卫视,http://43.251.226.110:8880/play/47.m3u8
山东卫视,http://43.251.226.110:8880/play/48.m3u8
山东卫视,http://43.251.226.110:8880/play/49.m3u8
广西卫视,http://43.251.226.110:8880/play/50.m3u8
江苏卫视,http://43.251.226.110:8880/play/51.m3u8
江苏卫视,http://43.251.226.110:8880/play/52.m3u8
江西卫视,http://43.251.226.110:8880/play/53.m3u8
河北卫视,http://43.251.226.110:8880/play/54.m3u8
河南卫视,http://43.251.226.110:8880/play/55.m3u8
浙江卫视,http://43.251.226.110:8880/play/56.m3u8
海南卫视,http://43.251.226.110:8880/play/57.m3u8
深圳卫视,http://43.251.226.110:8880/play/58.m3u8
深圳卫视,http://43.251.226.110:8880/play/59.m3u8
湖北卫视,http://43.251.226.110:8880/play/60.m3u8
湖北卫视,http://43.251.226.110:8880/play/61.m3u8
湖南卫视,http://43.251.226.110:8880/play/62.m3u8
湖南卫视,http://43.251.226.110:8880/play/63.m3u8
甘肃卫视,http://43.251.226.110:8880/play/64.m3u8
西藏卫视,http://43.251.226.110:8880/play/65.m3u8
辽宁卫视,http://43.251.226.110:8880/play/66.m3u8
辽宁卫视,http://43.251.226.110:8880/play/67.m3u8
重庆卫视,http://43.251.226.110:8880/play/68.m3u8
重庆卫视,http://43.251.226.110:8880/play/69.m3u8
陕西卫视,http://43.251.226.110:8880/play/70.m3u8
陕西卫视,http://43.251.226.110:8880/play/71.m3u8
青海卫视,http://43.251.226.110:8880/play/72.m3u8
浙江卫视4K,http://43.251.226.110:8880/play/73.m3u8
湖南卫视4K,http://43.251.226.110:8880/play/74.m3u8
CHC动作电影,http://43.251.226.110:8880/play/75.m3u8
CHC家庭影院,http://43.251.226.110:8880/play/76.m3u8
CCTV1,http://43.251.226.110:8880/play/77.m3u8
CCTV2,http://43.251.226.110:8880/play/78.m3u8
CCTV3,http://43.251.226.110:8880/play/79.m3u8
CCTV4,http://43.251.226.110:8880/play/80.m3u8
CCTV5,http://43.251.226.110:8880/play/81.m3u8
CCTV5+,http://43.251.226.110:8880/play/82.m3u8
CCTV6,http://43.251.226.110:8880/play/83.m3u8
CCTV7,http://43.251.226.110:8880/play/84.m3u8
CCTV8,http://43.251.226.110:8880/play/85.m3u8
CCTV9,http://43.251.226.110:8880/play/86.m3u8
CCTV10,http://43.251.226.110:8880/play/87.m3u8
CCTV11,http://43.251.226.110:8880/play/88.m3u8
CCTV12,http://43.251.226.110:8880/play/89.m3u8
CCTV14,http://43.251.226.110:8880/play/90.m3u8
CCTV15,http://43.251.226.110:8880/play/91.m3u8
CCTV17,http://43.251.226.110:8880/play/92.m3u8
咪咕央卫,#genre#
CCTV1,http://43.251.226.110:8880/play/93.m3u8
CCTV2,http://43.251.226.110:8880/play/94.m3u8
CCTV3,http://43.251.226.110:8880/play/95.m3u8
CCTV4,http://43.251.226.110:8880/play/96.m3u8
CCTV5,http://43.251.226.110:8880/play/97.m3u8
CCTV5+,http://43.251.226.110:8880/play/98.m3u8
CCTV6,http://43.251.226.110:8880/play/99.m3u8
CCTV7,http://43.251.226.110:8880/play/100.m3u8
CCTV8,http://43.251.226.110:8880/play/101.m3u8
CCTV9,http://43.251.226.110:8880/play/102.m3u8
CCTV10,http://43.251.226.110:8880/play/103.m3u8
CCTV11,http://43.251.226.110:8880/play/104.m3u8
CCTV12,http://43.251.226.110:8880/play/105.m3u8
CCTV13,http://43.251.226.110:8880/play/106.m3u8
CCTV14,http://43.251.226.110:8880/play/107.m3u8
CCTV15,http://43.251.226.110:8880/play/108.m3u8
CCTV17,http://43.251.226.110:8880/play/109.m3u8
CCTV4欧洲,http://43.251.226.110:8880/play/110.m3u8
CCTV4美洲,http://43.251.226.110:8880/play/111.m3u8
赛事最经典,http://43.251.226.110:8880/play/112.m3u8
体坛名栏汇,http://43.251.226.110:8880/play/113.m3u8
大湾区卫视,http://43.251.226.110:8880/play/114.m3u8
四海钓鱼,http://43.251.226.110:8880/play/115.m3u8
陕西体育,http://43.251.226.110:8880/play/116.m3u8
辽宁体育,http://43.251.226.110:8880/play/117.m3u8
东方卫视,http://43.251.226.110:8880/play/118.m3u8
江苏卫视,http://43.251.226.110:8880/play/119.m3u8
广东卫视,http://43.251.226.110:8880/play/120.m3u8
北京卫视,http://43.251.226.110:8880/play/121.m3u8
辽宁卫视,http://43.251.226.110:8880/play/122.m3u8
河北卫视,http://43.251.226.110:8880/play/123.m3u8
江西卫视,http://43.251.226.110:8880/play/124.m3u8
陕西卫视,http://43.251.226.110:8880/play/125.m3u8
湖北卫视,http://43.251.226.110:8880/play/126.m3u8
农林卫视,http://43.251.226.110:8880/play/127.m3u8
兵团卫视,http://43.251.226.110:8880/play/128.m3u8
上海新闻综合,http://43.251.226.110:8880/play/129.m3u8
上视东方影视,http://43.251.226.110:8880/play/130.m3u8
公共新闻频道,http://43.251.226.110:8880/play/131.m3u8
盐城新闻综合,http://43.251.226.110:8880/play/132.m3u8
江阴新闻综合,http://43.251.226.110:8880/play/133.m3u8
南通新闻综合,http://43.251.226.110:8880/play/134.m3u8
宜兴新闻综合,http://43.251.226.110:8880/play/135.m3u8
溧水新闻综合,http://43.251.226.110:8880/play/136.m3u8
陕西银龄频道,http://43.251.226.110:8880/play/137.m3u8
陕西都市青春频道,http://43.251.226.110:8880/play/138.m3u8
陕西秦腔频道,http://43.251.226.110:8880/play/139.m3u8
陕西新闻资讯频道,http://43.251.226.110:8880/play/140.m3u8
财富天下,http://43.251.226.110:8880/play/141.m3u8
辽宁公共频道,http://43.251.226.110:8880/play/142.m3u8
辽宁生活频道,http://43.251.226.110:8880/play/143.m3u8
辽宁影视剧频道,http://43.251.226.110:8880/play/144.m3u8
宁夏文旅频道,http://43.251.226.110:8880/play/145.m3u8
宁夏经济频道,http://43.251.226.110:8880/play/146.m3u8
经典香港电影,http://43.251.226.110:8880/play/147.m3u8
抗战经典影片,http://43.251.226.110:8880/play/148.m3u8
新片放映厅,http://43.251.226.110:8880/play/149.m3u8
CHC影迷电影,http://43.251.226.110:8880/play/150.m3u8
CHC动作电影,http://43.251.226.110:8880/play/151.m3u8
CHC家庭影院,http://43.251.226.110:8880/play/152.m3u8
和美乡途轮播台,http://43.251.226.110:8880/play/153.m3u8
最强综艺趴,http://43.251.226.110:8880/play/154.m3u8
全网通频,#genre#
CCTV1,http://43.251.226.110:8880/play/1626.m3u8
CCTV2,http://43.251.226.110:8880/play/1627.m3u8
CCTV3,http://43.251.226.110:8880/play/1628.m3u8
CCTV4,http://43.251.226.110:8880/play/1629.m3u8
CCTV5,http://43.251.226.110:8880/play/1630.m3u8
CCTV5+,http://43.251.226.110:8880/play/1631.m3u8
CCTV6,http://43.251.226.110:8880/play/1632.m3u8
CCTV7,http://43.251.226.110:8880/play/1633.m3u8
CCTV8,http://43.251.226.110:8880/play/1634.m3u8
CCTV9,http://43.251.226.110:8880/play/1635.m3u8
CCTV10,http://43.251.226.110:8880/play/1636.m3u8
CCTV11,http://43.251.226.110:8880/play/1637.m3u8
CCTV12,http://43.251.226.110:8880/play/1638.m3u8
CCTV13,http://43.251.226.110:8880/play/1639.m3u8
CCTV14,http://43.251.226.110:8880/play/1640.m3u8
CCTV15,http://43.251.226.110:8880/play/1641.m3u8
CCTV16,http://43.251.226.110:8880/play/1642.m3u8
CCTV17,http://43.251.226.110:8880/play/1643.m3u8
北京卫视,http://43.251.226.110:8880/play/1644.m3u8
东方卫视,http://43.251.226.110:8880/play/1645.m3u8
浙江卫视,http://43.251.226.110:8880/play/1646.m3u8
江苏卫视,http://43.251.226.110:8880/play/1647.m3u8
